key,en,ko
please Fill Out The Field,Please Fill Out The Field,필드를 작성하십시오
please Agree,Please agreed our terms and privacy policy,이용 약관 및 개인 정보 보호 정책에 동의하십시오
Sign In,Sign In,로그인
Sign Up,Sign Up,가입하기
user Name Or Email Address,Username Or Email Address,아이디 또는 이메일 주소
password,Password,비밀번호
forget Password,Forget Password,비밀번호 분실
get Started,Get Started,시작하다
enter The OTP Code Send To,Enter The OTP Code Sent to,전송 된 OTP 코드를 입력하십시오
verified Code,Verified Code,인증 코드
submit,Submit,제출
o TP Verification,OTP Verification,OTP 검증
email Verification,Email Verification,이메일 확인
resend,Resend,재발송
new Password,New Password,새 비밀번호
confirm Password,Confirm Password,비밀번호 확인
enter,Enter,입력
reset Password,Reset Your Password,비밀번호 재설정
congratulation,Congratulations,축하해요
create Account,Create Account,계정 생성
first Name,First Name,이름
last Name,Last Name,성
transfer,TRANSFER,전송
Home,Home,홈
profile,Profile,프로필
Add Money,Add Money,머니 추가
Make Offer,Make Offer,거래 만들기
Sell,Sell,판매
Buy,Buy,구매
Money Out,Money Out,돈 인출
exchange,Exchange,교환
request,Request,요구
recent Transaction,Recent Transaction,최근 거래
notification,Notification,공고
my Invoice,My Invoice,내 송장
my Voucher,My Voucher,내 바우처
transaction Log,Transaction Log,트랜잭션 로그
two FA Security,2FA Security,이중 보안
change Password,Change Password,비밀번호 변경
help Center,Help Center,지원 센터
privacy And Policy,Privacy & Policy,개인 정보 정책
sign Out,Sign Out,로그 아웃하십시오
amount,Amount,양
preview Screen,Preview Screen,미리보기 화면
exchange Rate,Exchange Rate,환율
total Fees And Charges,Total Fees & Charges,총 수수료 및 요금
will Get,Will Get,얻을 것이다
total Payable Amount,Total Payable Ammount,총 지급 가능 잔액
confirm,Confirm,확인하다
money Exchange,Money Exchange,돈 교환
from,From,에서
to,To,에게
request Money,Request Money,돈을 요청하십시오
remarks,Remarks,발언
optional,Optional,선택 과목
share Request Money,Share Request Money,요청 돈을 공유하십시오
share,Share,공유하다
money Transfer,Money Transfer,계좌 이체
kakaopay,Kakaopay,카카오페이
available Balance,Available Balance,사용 가능 잔액
receiver,Receiver,수화기
profile Label,Profile,프로필
full Name,Full Name,전체 이름
country,Country,국가
mobile Number,Mobile Number,휴대폰 번호
state,State,상태
state1,State,주
city,City,도시
zip Code,Zip Code,우편 번호
postal,postal,우편 번호
address,Address,주소
update,Update,업데이트
paid,Paid,지급
sent,Sent,전송된
un Paid,UnPaid,미지급
invoice Number,Invoice Number,송장 번호
invoice Date,Invoice Date,송장 날짜
currency,Currency,통화
pick Goods,Pick Goods,상품을 선택하십시오
trick Goods,Trick Goods,트릭 제품
total Bill,Total Bill,총 청구서
total,Total,총
sub Total,Subtotal,소계
create Invoice,Create Invoice,송장을 만듭니다
invoice To,Invoice To,송장으로
billing Address,Billing Address,청구 지 주소
notes,Notes,노트
item Details,Item Details,항목 세부 사항
your Details,Your Details,세부 정보
client Name,Client Name,고객 이름
add New,Add New,새로운 걸 더하다
and,&,&이었다.
item Name,Item Name,상품명
voucher,Voucher,보증인
redeem,Redeem,상환하다
used,Used,사용된
not Used,Not Used,사용되지 않음
name,Name,이름
cancel,Cancel,취소
email,Email,이메일
phone,Phone Number,전화 번호
status,Status,상태
code,Code,암호
sign In With Touch Id,Sign In With Touch Id,터치 ID로 로그인하십시오
create Voucher,Create Voucher,바우처를 만듭니다
confirm Redeem,Confirm Redeem,상환을 확인하십시오
redeem Code,Redeem Code,코드를 사용
add Money Log,Add Money Log,머니 로그를 추가하십시오
money Out Log,Money Out Log,Money Out Log
exchange Log,Exchange Log,교환 로그
request Log,Request Log,요청 로그
back To Home,Back To Home,홈으로
Back to,Back to ,뒤로
enable2fa Security,Enable 2FA Security,이중 보안을 활성화합니다
send Verification Code,Send Verification Code,확인 코드를 보내십시오
old Password,Old Password,기존 비밀번호
individual,Individual,개인
business,Business,사업
middle Name,Middle Name,중간 이름
user Name,Username,사용자 이름
postal Code,Postal Code,우편 번호
company Name,Company Name,회사 이름
gender,Gender,성별
date Of Birth,Date of Birth,생일
nationality,Nationality,국적
my Receipt,My Receipt,내 영수증
total Exchanged Amount,Total Exchanged Amount,총 교환 금액
converted Amount,Converted Amount,전환 된 금액
requested Amount,Requested Amount,요청 금액
resend Code,Resend Code,코드 재전송
paypal Payment,Paypal Payment,PayPal 지불
stripe Payment,Stripe Payment,줄무늬 지불
flutter Wave Payment,Flutterwave Payment,Flutterwave 지불
limit,Limit,한계
trade Limit,Trade Limit,무역 한도
copy Qr Url,Link copied to clipboard,링크가 클립 보드에 복사되었습니다
success,Success,성공
upload Image,Upload Image,이미지 업로드
msg Network Err,Network Error,네트워크 오류
msg Something Went Wrong,Something Went Wrong!,뭔가 잘못되었습니다!
offer,Offer,권하다
payable Amount,Payable Amount,지불금 금액
msg Do Not Have An Account,Don’t have an account? Sign Up,계정이 없습니까? 가입하기
oops,Oops!!,죄송합니다 !!
enter Your Password,Enter Your Password,비밀번호를 입력하십시오
app Navigation,App Navigation,앱 탐색
selling Preview,Selling Preview,판매 미리보기
enable,Enable,활성화
disable,Disable,비활성화
msg Check Your Apps,Check your apps UI from the below demo screens of your app.,앱의 아래 데모 화면에서 앱 UI를 확인하십시오.
edit,Edit,편집
close,Close,닫다
welcome To Change,"Our secure sign in process ensures the confidentiality of your information. Sign in today and stay connected to your finances, anytime and anywhere.",안전한 사인 in 프로세스는 귀하의 정보의 기밀성을 보장합니다. 오늘 로그인하고 언제 어디서나 재정과 연결되어 있습니다.
welcome Sign Up,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,오늘 계정에 등록하여 커뮤니티의 일부가 되십시오. 귀하의 요구를 충족시키기 위해 맞춤화 된 다양한 혜택과 기능을 즐기십시오.
onboard Screen,Onboard Screen,온보드 화면
enter Email Address,Enter Email Address,이메일 주소를 입력하십시오
msg Your Money Has Been2,Your money has been successfully out from your wallet. Thanks for using .,당신의 돈은 당신의 지갑에서 성공적으로 나왔습니다. 사용해 주셔서 감사합니다.
msg Identity Verification2,Identity Verification One,신원 확인 1
msg Capture A Recent,Capture a recent photo of your face to add to our record list.,레코드 목록에 추가하려면 최근 얼굴 사진을 캡처하십시오.
select Amount,Select Amount,금액을 선택하십시오
front Part,Front Part,앞부분
transactions Summary,Transactions Summary,거래 요약
history,History,역사
your Offer Rate,Your offer rate has been successfully sent to the seller. Wait for confirmation.,귀하의 제안 요금은 판매자에게 성공적으로 발송되었습니다. 확인을 기다리십시오.
sign In Data Entry,Sign In (Data Entry),로그인 (데이터 입력)
msg Enable2fa Security,Enable 2FA Security,이중 보안을 활성화합니다
your Identity Document,Your identity document has been successfully sent to the admin. Wait for approval.,귀하의 신원 문서가 관리자에게 성공적으로 발송되었습니다. 승인을 기다리십시오.
please Enter Your,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,비밀번호를 재설정하여 계정을 제어하십시오. 우리의 암호 복구 페이지는 필요한 단계를 안내합니다.
enter Confirm Password,Enter Confirm Password,비밀번호 확인을 입력하십시오
enter New Password,Enter New Password,새 비밀번호를 입력하십시오
counter Offer,Counter Offer,역 제안
rejected,Rejected,거부됨
reject,Reject,거부
something Went Wrongs,"Something went wrong, kindly check it again. Thanks for using .",뭔가 잘못되었고 친절하게 다시 확인하십시오. 사용해 주셔서 감사합니다.
the Otp Verification,Enter the otp verification code. Which one did we send to your registered email to verified your account,OTP 검증 코드를 입력하십시오. 귀하의 계정을 확인하기 위해 등록 된 이메일로 보낸 사람은 어느 쪽을 보냈습니까?
fee,Fee,요금
trade,Trade,거래
make Counter Offer,Make Counter Offer,카운터 제안을하십시오
ad Create Successfully,Ad Create Successfully,광고가 성공적으로 생성됩니다
resubmit,Resubmit,다시 제출하십시오
buying Preview One,Buying Preview One,미리보기 구매
do Not Edit The,"Do not edit the image in any way, including cropping.",자르기를 포함하여 어떤 식 으로든 이미지를 편집하지 마십시오.
payment Gateway,Payment Gateway,결제 게이트웨이
proceed,Proceed,진행하다
buy Now,Buy Now,지금 구매하십시오
id Type Any Govt,ID Type (Any Govt Certificate),ID 유형 (모든 정부 인증서)
do Not Have An Account,Don’t have an account?,계정이 없습니까?
get An Offer,Get an Offer,제안을 받으십시오
confirmation,Confirmation,확인
verified,Verified,인증완료
un Verified,Un Verified,인증안됨
buying Preview Two,Buying Preview Two,구매 미리보기 2
last Transaction,Last Transaction,마지막 거래
id Type,ID Type,ID 유형
const card Number,Card Number,카드 번호
sold,Sold,판매된
pay,Pay,지불하다
const credit Card Sample Text,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.",대중의 믿음과는 달리 Lorem Ipsum은 단순히 임의의 텍스트가 아닙니다. 기원전 45 년부터 고전적인 라틴 문학에 뿌리를두고 있으며 2000 년이 넘었습니다.
const card Holder,Card Holder,카드 소지자
const valid Thru,VALID THRU,유효합니다
preview One,Preview One,하나를 미리 봅니다
two Factor Authorization,Two Factor Authorization,이중 인증
please Enter The Code,Please Enter The Code,코드를 입력하십시오
prove Your Address,Prove your address through legal documents of your place of residence.,거주지의 법적 문서를 통해 주소를 증명하십시오.
enter The Otp Verification,We sent a 6-digit code to your email,6 자리 코드를 귀하의 이메일로 보냈습니다
enter The Two Fa Verification,Please enter your authorization code to access dashboard,대시 보드에 액세스하려면 인증 코드를 입력하십시오
your Account Has,Your account has been verified successfully. Thanks to use,귀하의 계정이 성공적으로 확인되었습니다. 사용해 주셔서 감사합니다
start Transaction,Start Transaction,트랜잭션을 시작하십시오
sort Marketplace,Sort (Marketplace),정렬 (마켓 플레이스)
drawer Menu,Drawer Menu,서랍 메뉴
my Wallet,My Wallet,내 지갑
enter Name,Enter Name,이름을 입력하시오
buying Preview,Buying Preview,구매 미리보기
price Offer,Price Offer,가격 제안
transactions,Transactions,업무
already Have An,Already have an account?,이미 계정이 있습니까?
rate,Rate,비율
australian Dollar,Australian Dollar,호주 달러
approval Two,Approval Two,승인 2
prove Your Identity,Prove your identity by submitting your valid government certificate.,유효한 정부 증명서를 제출하여 신원을 증명하십시오.
make An Offer,Make an Offer,제안을하십시오
okay,Okay,좋아요
i Agreed With,I have agreed with,나는 동의했다
terms,Terms Of Use,이용 약관
privacy Policy,Privacy Policy,개인 정보 정책
